Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,-7.206290,1.786915,4.901014,-0.999999,0.820310,0.000000,1
1,-7.165507,-5.474845,24.351336,0.972757,0.742520,0.000000,0
2,-6.005392,6.723075,9.903865,0.999135,0.708308,0.000000,0
3,-4.580721,7.459008,10.098492,0.992198,0.720252,0.000000,0
4,-2.759342,7.838798,8.436760,-0.893233,0.790107,0.000000,0
5,2.317269,7.994305,7.971336,0.813887,0.754717,0.000000,0
6,5.692623,-6.902153,3.924270,-0.999997,0.798259,0.000000,1
7,5.781124,-5.692475,4.123074,-0.306214,0.786128,0.000000,0
8,6.033944,-6.211772,3.961606,-0.994542,0.792801,0.000000,1
9,6.083201,-7.769494,4.509264,-0.605332,0.788922,0.000000,0
10,6.256543,2.888900,9.700887,0.999916,0.654076,0.000000,0
11,7.237402,-4.593714,11.209980,0.995159,0.717178,0.000000,0
12,7.668844,-7.203869,12.626927,0.999640,0.694060,0.000000,0
