run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.07599724400142294,0.10331753090989691,0.18800168203064513,0.1311395358950013
2,0.07067013520818831,0.10083249856580352,0.24643865450633684,0.1590481337823312
3,0.06922603203754515,0.0818457421524453,0.19949399191302367,0.18828468155563224
4,0.07357653305799358,0.1686425278530158,0.170912227390917,0.1611315461485356
5,0.06960112796872867,0.0945124454020443,0.1972121128003731,0.1241063729619534
6,0.06493638143165134,0.08864755275971786,0.3027179315051302,0.20249287427046636
7,0.07762411687066935,0.0829433230274259,0.27295493264437365,0.13154904713837215
8,0.0736158498388535,0.15415024834142158,0.31606269943609006,0.18192473727392766
9,0.0654974496226448,0.08882660764081965,0.2799051242935087,0.15562304805943464
10,0.07598495939488732,0.09318666004084608,0.183549220881751,0.13154904713837215
