run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.08568724465854907,0.11348426865293995,0.22252062588304775,0.15319582100760226
2,0.0765695481066587,0.10813370792170902,0.22081483705497895,0.17225924731569625
3,0.07257567814063337,0.08004412792594362,0.2128246664183128,0.19871377767199042
4,0.0795245560070793,0.1704018652193703,0.16504647417630147,0.18979691158990109
5,0.08554515889397973,0.10843319649277139,0.1820135256036912,0.1270061026536057
6,0.0741731536667464,0.10971290947581051,0.3097595579268431,0.1793258818846907
7,0.08578503090075026,0.09118380878024238,0.33271615266711047,0.13147213541619288
8,0.08221272297987155,0.16828505065242058,0.2876392793230854,0.18021304364078336
9,0.07528570991743097,0.098127444072,0.25355116104103514,0.15795555525064314
10,0.09597753913622259,0.10032600194776571,0.16464936529338814,0.13147213541619288
