run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.11960369261505434,0.27489192198987483,0.4530589275305924,0.1375517081665787
2,0.2367243365027062,0.3489259980494991,0.3312614066176442,0.17443654421817437
3,0.14466320053820633,0.3117335910689113,0.21727817472403346,0.558123674299608
4,0.2084828943058293,0.25205322409012726,0.1680293840968197,0.2771415578615978
5,0.1739061099719901,0.20356172598494443,0.4063597397367789,0.33526426328449016
6,0.13609453616764103,0.21092389447248286,0.30990874752333714,0.2737498291237444
7,0.17590617644003187,0.22418139774323423,0.6687762933509307,0.19637603379879215
8,0.20421000764554434,0.7948281204519169,0.4657494151569244,0.5391964602882813
9,0.22243604269056788,0.164386573244007,0.22427062224035177,0.16412737626084062
10,0.22610194777487327,0.6755212920668539,0.23550266276702025,0.19637603379879215
