run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.1435509775043507,0.4835725944549754,0.49907729532160444,0.14167091120069333
2,0.28109280812344756,0.6400817318507374,0.39397308647685775,0.18383479842876246
3,0.14975369504257666,0.3933814632879896,0.28039105296507344,0.5941076795559173
4,0.23009759161337395,0.26720957098677095,0.15699073743050518,0.42397515251037937
5,0.1936223689792039,0.337595776372843,0.443810773839669,0.3575968471190023
6,0.16955533394928504,0.2252909396517783,0.5832751843526017,0.3037645403257392
7,0.3933500410854791,0.2501560708234926,1,0.19260552919062507
8,0.2522389905524849,1,0.4593298372678286,0.6275948265185528
9,0.2769421076617802,0.27636567483603247,0.46647484587592963,0.357021190911115
10,0.7005510075078532,0.7165509461470347,0.25810850078248104,0.19260552919062507
