run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.1580607996167197,0.4386824996205252,0.4488059642665076,0.14075702844929594
2,0.2829496398654446,0.6646119476588496,0.36834387056467455,0.1898862024888485
3,0.1530767975514114,0.363985015161615,0.3101412662884186,0.5126186355546717
4,0.20576387231429535,0.23417071822797006,0.16771766741251826,0.40487096204373074
5,0.19801872603863668,0.30351456046432873,0.4514496961850156,0.36051237484616383
6,0.14411107152710464,0.20299401420988578,0.5363818966517367,0.3009499056886601
7,0.4004293670817836,0.2506572992795089,1,0.17545918135897726
8,0.1984019538680024,1,0.432582168924054,0.6033188226907323
9,0.24695819547828282,0.2383159404371056,0.4047587903983828,0.3337676937181075
10,0.6044180949267369,0.7296805104138979,0.2546470033027197,0.17545918135897726
